cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
T0N,64,0.37964,0.56028,0.55117,0.19894,0.23395,1.0000000000000002e-07,0,11.7
T0N,65,0.37961,0.56026,0.55117,0.19896,0.23395,1.0000000000000004e-08,0,11.7
T0N,66,0.37959,0.56025,0.55117,0.19905,0.23395,1.0000000000000004e-08,0,11.6
T0N,67,0.37959,0.5603,0.55117,0.19898,0.23395,1.0000000000000004e-08,0,11.7
T0N,68,0.37958,0.56028,0.55117,0.19898,0.23395,1.0000000000000004e-08,0,11.7
T0N,69,0.37958,0.56028,0.55117,0.19897,0.23395,1.0000000000000004e-08,0,11.7
T0N,70,0.37959,0.56022,0.55117,0.19903,0.23395,1.0000000000000004e-08,0,11.7
T0N,71,0.37958,0.56019,0.55117,0.19905,0.23395,1.0000000000000004e-08,0,11.7
T0N,72,0.37958,0.56019,0.55117,0.19905,0.23395,1.0000000000000004e-08,0,11.7
T0N,73,0.37957,0.56027,0.55117,0.19896,0.23395,1.0000000000000004e-08,0,11.7
T0N,74,0.37957,0.56027,0.55117,0.19896,0.23395,1.0000000000000004e-08,0,11.7
T0N,75,0.37957,0.56027,0.55117,0.19894,0.23395,1.0000000000000004e-08,0,11.7
T0N,76,0.37956,0.56027,0.55117,0.19894,0.23395,1.0000000000000004e-08,0,11.7
T0N,77,0.37955,0.56028,0.55117,0.19893,0.23395,1.0000000000000004e-08,0,11.7
T0N,78,0.37954,0.56031,0.55117,0.19888,0.23395,1.0000000000000004e-08,0,11.7
T0N,79,0.37953,0.56025,0.55117,0.19894,0.23395,1.0000000000000004e-08,0,11.7
T0N,80,0.37952,0.56031,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,81,0.37951,0.56023,0.55117,0.19894,0.23395,1.0000000000000004e-08,0,11.7
T0N,82,0.37952,0.56023,0.55117,0.19893,0.23395,1.0000000000000004e-08,0,11.7
T0N,83,0.37951,0.56023,0.55117,0.19894,0.23395,1.0000000000000004e-08,0,11.7
T0N,84,0.3795,0.56023,0.55117,0.19893,0.23395,1.0000000000000004e-08,0,11.7
T0N,85,0.37951,0.56022,0.55117,0.19894,0.23395,1.0000000000000004e-08,0,11.7
T0N,86,0.37946,0.56028,0.55117,0.19889,0.23395,1.0000000000000004e-08,0,11.7
T0N,87,0.37945,0.5603,0.55117,0.1989,0.23395,1.0000000000000004e-08,0,11.7
T0N,88,0.37945,0.5603,0.55117,0.19889,0.23395,1.0000000000000004e-08,0,11.7
T0N,89,0.37945,0.5603,0.55117,0.1989,0.23395,1.0000000000000004e-08,0,11.7
T0N,90,0.37945,0.56031,0.55117,0.19889,0.23395,1.0000000000000004e-08,0,11.7
T0N,91,0.37945,0.5603,0.55117,0.19888,0.23395,1.0000000000000004e-08,0,11.7
T0N,92,0.37944,0.5603,0.55117,0.19888,0.23395,1.0000000000000004e-08,0,11.7
T0N,93,0.37944,0.56032,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,94,0.37944,0.56036,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,95,0.37944,0.56036,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
