cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
TB,67,1.69461,2.65144,2.47799,0.19443,0.19783,1.0000000000000002e-06,0,11.8
TB,68,1.69104,2.65456,2.47799,0.19414,0.19783,1.0000000000000002e-06,0,11.8
TB,69,1.68701,2.65691,2.47799,0.19421,0.19783,1.0000000000000002e-07,0,11.8
TB,70,1.68331,2.65691,2.47799,0.19438,0.19783,1.0000000000000002e-07,0,11.8
TB,71,1.68303,2.65766,2.47799,0.19446,0.19783,1.0000000000000002e-07,0,11.8
TB,72,1.68294,2.65837,2.47799,0.19442,0.19783,1.0000000000000002e-07,0,11.8
TB,73,1.68256,2.65865,2.47799,0.19435,0.19783,1.0000000000000002e-07,0,11.7
TB,74,1.68206,2.65912,2.47799,0.19437,0.19783,1.0000000000000002e-07,0,11.8
TB,75,1.68192,2.65855,2.47799,0.19473,0.19783,1.0000000000000004e-08,0,11.8
TB,76,1.68175,2.65887,2.47799,0.19477,0.19783,1.0000000000000004e-08,0,11.8
TB,77,1.68172,2.6589,2.47799,0.19476,0.19783,1.0000000000000004e-08,0,11.8
TB,78,1.68167,2.65902,2.47799,0.19474,0.19783,1.0000000000000004e-08,0,11.8
TB,79,1.68169,2.65911,2.47799,0.19477,0.19783,1.0000000000000004e-08,0,11.8
TB,80,1.68164,2.65913,2.47799,0.19478,0.19783,1.0000000000000004e-08,0,11.8
TB,81,1.6815,2.65854,2.47799,0.19472,0.19783,1.0000000000000004e-08,0,11.8
TB,82,1.68143,2.65885,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.8
TB,83,1.68137,2.65908,2.47799,0.19459,0.19783,1.0000000000000004e-08,0,11.8
TB,84,1.68139,2.6592,2.47799,0.19443,0.19783,1.0000000000000004e-08,0,11.8
TB,85,1.6813,2.65931,2.47799,0.19444,0.19783,1.0000000000000004e-08,0,11.7
TB,86,1.68128,2.6594,2.47799,0.19441,0.19783,1.0000000000000004e-08,0,11.7
TB,87,1.68123,2.65903,2.47799,0.19452,0.19783,1.0000000000000004e-08,0,11.7
TB,88,1.68128,2.65944,2.47799,0.19444,0.19783,1.0000000000000004e-08,0,11.7
TB,89,1.68125,2.65948,2.47799,0.19444,0.19783,1.0000000000000004e-08,0,11.7
TB,90,1.68121,2.65944,2.47799,0.19443,0.19783,1.0000000000000004e-08,0,11.7
TB,91,1.68116,2.65891,2.47799,0.19452,0.19783,1.0000000000000004e-08,0,11.7
TB,92,1.68108,2.65922,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.7
TB,93,1.68103,2.6593,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.7
TB,94,1.68103,2.65938,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.8
TB,95,1.68095,2.65938,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.7
TB,96,1.68113,2.6593,2.47799,0.19454,0.19783,1.0000000000000004e-08,0,11.7
TB,97,1.68096,2.65908,2.47799,0.19451,0.19783,1.0000000000000004e-08,0,11.8
TB,98,1.68099,2.65913,2.47799,0.19448,0.19783,1.0000000000000004e-08,0,11.8
TB,99,1.68099,2.65909,2.47799,0.19449,0.19783,1.0000000000000004e-08,0,11.8
TB,100,1.6809,2.65907,2.47799,0.19449,0.19783,1.0000000000000004e-08,0,11.8
