cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TC,45,0.47893,0.69206,0.65951,0.15674,0.20746,0.18973,0.01742,0.07434,0.32119,0.0001,0,11.9
TC,46,0.46764,0.6233,0.6233,0.33193,0.42112,0.42867,0.03533,0.06105,0.33193,0.0001,1,12.0
TC,47,0.44231,0.63178,0.6233,0.29944,0.33741,0.38663,0.0322,0.06235,0.33193,0.0001,0,11.9
TC,48,0.4304,0.61789,0.61789,0.33343,0.37445,0.43963,0.03583,0.06061,0.33343,0.0001,1,12.0
TC,49,0.41372,0.62725,0.61789,0.30691,0.44314,0.36884,0.02605,0.0659,0.33343,0.0001,0,11.9
TC,50,0.40795,0.66325,0.61789,0.32562,0.32062,0.53797,0.07252,0.05404,0.33343,0.0001,0,11.9
TC,51,0.40526,0.68159,0.61789,0.21196,0.36866,0.25153,0.01557,0.07569,0.33343,0.0001,0,11.9
TC,52,0.39533,0.60569,0.60569,0.31866,0.39082,0.39588,0.02715,0.06238,0.33343,0.0001,1,12.0
TC,53,0.38292,0.63252,0.60569,0.2917,0.40358,0.3374,0.02255,0.06632,0.33343,0.0001,0,11.9
TC,54,0.36997,0.66509,0.60569,0.22798,0.41024,0.24113,0.0171,0.07338,0.33343,0.0001,0,11.9
TC,55,0.35839,0.61206,0.60569,0.32802,0.35971,0.4417,0.04044,0.05786,0.33343,0.0001,0,11.9
TC,56,0.3503,0.63516,0.60569,0.277,0.3422,0.34615,0.03159,0.06447,0.33343,0.0001,0,11.9
TC,57,0.35353,0.61419,0.60569,0.3023,0.3585,0.43392,0.04201,0.05906,0.33343,0.0001,0,11.9
TC,58,0.35865,0.64028,0.60569,0.28235,0.34496,0.43065,0.04644,0.05891,0.33343,1e-05,0,11.9
TC,59,0.32978,0.61714,0.60569,0.30846,0.42876,0.38162,0.03046,0.06324,0.33343,1e-05,0,11.9
TC,60,0.30818,0.62231,0.60569,0.3018,0.46708,0.36769,0.02815,0.06455,0.33343,1e-05,0,11.9
TC,61,0.29675,0.62318,0.60569,0.30173,0.44332,0.36505,0.02813,0.06458,0.33343,1e-05,0,11.9
TC,62,0.28946,0.62405,0.60569,0.30142,0.43791,0.36782,0.02944,0.06415,0.33343,1e-05,0,11.9
TC,63,0.28363,0.62189,0.60569,0.30388,0.43565,0.37026,0.02975,0.06373,0.33343,1e-05,0,11.9
TC,64,0.27897,0.62063,0.60569,0.30351,0.43604,0.36867,0.02932,0.06371,0.33343,1.0000000000000002e-06,0,11.9
