cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TD,45,0.47667,0.67601,0.65794,0.33384,0.30575,0.66283,0.10705,0.04323,0.34821,0.0001,0,12.0
TD,46,0.45058,0.65991,0.65794,0.27726,0.38747,0.44672,0.06053,0.06067,0.34821,0.0001,0,12.0
TD,47,0.43817,0.67839,0.65794,0.35119,0.3185,0.65235,0.10013,0.04654,0.35119,1e-05,0,12.0
TD,48,0.41867,0.65367,0.65367,0.2862,0.33636,0.3985,0.03934,0.06693,0.35119,1e-05,1,12.0
TD,49,0.39984,0.64702,0.64702,0.29702,0.32709,0.40333,0.03828,0.06613,0.35119,1e-05,1,12.1
TD,50,0.39236,0.64784,0.64702,0.29724,0.32654,0.40418,0.03832,0.06617,0.35119,1e-05,0,11.9
TD,51,0.38717,0.64673,0.64673,0.30003,0.33274,0.40595,0.03765,0.06602,0.35119,1e-05,1,12.0
TD,52,0.38282,0.64637,0.64637,0.30093,0.33276,0.40703,0.03775,0.06569,0.35119,1e-05,1,12.0
TD,53,0.37894,0.64721,0.64637,0.29857,0.33653,0.4018,0.03699,0.06589,0.35119,1e-05,0,11.9
TD,54,0.37451,0.64552,0.64552,0.30113,0.34195,0.40286,0.03625,0.06572,0.35119,1e-05,1,12.1
TD,55,0.37079,0.64768,0.64552,0.29407,0.36336,0.39307,0.0353,0.06635,0.35119,1e-05,0,11.9
TD,56,0.36682,0.6456,0.64552,0.301,0.37178,0.3974,0.03506,0.06618,0.35119,1e-05,0,11.9
TD,57,0.36335,0.648,0.64552,0.29476,0.37078,0.38927,0.03413,0.0667,0.35119,1e-05,0,12.0
TD,58,0.35956,0.64561,0.64552,0.30119,0.35521,0.38947,0.03378,0.06662,0.35119,1e-05,0,12.0
TD,59,0.35612,0.64885,0.64552,0.29433,0.35588,0.38045,0.03289,0.06727,0.35119,1e-05,0,11.9
TD,60,0.35259,0.64605,0.64552,0.30076,0.36258,0.3854,0.03273,0.06687,0.35119,1.0000000000000002e-06,0,11.9
TD,61,0.34865,0.64607,0.64552,0.30016,0.3864,0.3839,0.03283,0.06693,0.35119,1.0000000000000002e-06,0,11.9
TD,62,0.34814,0.64568,0.64552,0.30274,0.38685,0.38536,0.03283,0.06692,0.35119,1.0000000000000002e-06,0,11.9
TD,63,0.34774,0.64441,0.64441,0.30828,0.38741,0.38882,0.0328,0.0668,0.35119,1.0000000000000002e-06,1,12.0
TD,64,0.34738,0.64489,0.64441,0.30672,0.38633,0.38861,0.03294,0.06678,0.35119,1.0000000000000002e-06,0,11.9
TD,65,0.34703,0.64488,0.64441,0.3081,0.38863,0.38891,0.03289,0.06683,0.35119,1.0000000000000002e-06,0,11.9
TD,66,0.34675,0.6445,0.64441,0.30939,0.38844,0.38985,0.03288,0.06682,0.35119,1.0000000000000002e-06,0,12.0
TD,67,0.34638,0.64536,0.64441,0.30773,0.38876,0.38777,0.03272,0.06702,0.35119,1.0000000000000002e-06,0,11.9
TD,68,0.34607,0.64536,0.64441,0.30947,0.41384,0.38905,0.0329,0.06699,0.35119,1.0000000000000002e-06,0,11.9
TD,69,0.34572,0.64689,0.64441,0.30284,0.38924,0.38417,0.0328,0.06716,0.35119,1.0000000000000002e-07,0,11.9
TD,70,0.34525,0.64705,0.64441,0.30226,0.41433,0.38371,0.03291,0.06718,0.35119,1.0000000000000002e-07,0,11.9
TD,71,0.34522,0.64704,0.64441,0.30266,0.41446,0.38392,0.03292,0.06718,0.35119,1.0000000000000002e-07,0,11.9
TD,72,0.34518,0.64724,0.64441,0.3022,0.41445,0.38336,0.03288,0.0672,0.35119,1.0000000000000002e-07,0,11.9
TD,73,0.34514,0.64708,0.64441,0.30252,0.41436,0.38364,0.03287,0.06719,0.35119,1.0000000000000002e-07,0,11.9
TD,74,0.34511,0.64736,0.64441,0.3018,0.41422,0.383,0.03289,0.06722,0.35119,1.0000000000000002e-07,0,11.9
TD,75,0.34506,0.64743,0.64441,0.30156,0.41403,0.38298,0.0329,0.06722,0.35119,1.0000000000000004e-08,0,11.9
TD,76,0.34501,0.64732,0.64441,0.30172,0.41428,0.38311,0.0329,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,77,0.345,0.64692,0.64441,0.3045,0.41391,0.38477,0.03291,0.06716,0.35119,1.0000000000000004e-08,0,11.9
TD,78,0.345,0.64691,0.64441,0.30455,0.41392,0.3848,0.03291,0.06716,0.35119,1.0000000000000004e-08,0,11.9
TD,79,0.345,0.6469,0.64441,0.30455,0.41385,0.38482,0.03291,0.06716,0.35119,1.0000000000000004e-08,0,11.9
TD,80,0.345,0.6469,0.64441,0.30455,0.41386,0.38482,0.03291,0.06716,0.35119,1.0000000000000004e-08,0,11.9
TD,81,0.345,0.64683,0.64441,0.30463,0.41395,0.38484,0.03289,0.06716,0.35119,1.0000000000000004e-08,0,11.9
TD,82,0.345,0.64681,0.64441,0.3046,0.41388,0.38486,0.0329,0.06716,0.35119,1.0000000000000004e-08,0,11.9
TD,83,0.34499,0.64677,0.64441,0.30479,0.41388,0.38498,0.03289,0.06715,0.35119,1.0000000000000004e-08,0,11.9
TD,84,0.34499,0.64677,0.64441,0.30478,0.41387,0.38501,0.0329,0.06715,0.35119,1.0000000000000004e-08,0,11.9
TD,85,0.34499,0.64677,0.64441,0.30472,0.41386,0.38495,0.0329,0.06715,0.35119,1.0000000000000004e-08,0,11.8
